,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.17,0.00,0.00
Expenses,0.01,0.02,0.04,0.01,0.01,0.02,0.04,0.03,0.01,0.17,0.05,0.01
Operating Profit,-0.01,-0.02,-0.04,-0.01,-0.01,-0.02,-0.04,-0.03,-0.01,0.0,-0.05,-0.01
OPM %,,,,,,,,,,0.0,,
Other Income,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
Interest,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.0,0.00,0.00
Depreciation,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,-0.01,0.01,0.01
Profit before tax,0.02,0.01,-0.01,0.02,0.02,0.01,-0.01,0.0,0.01,0.05,-0.02,0.02
Tax %,50.00,0.00,0.00,50.00,50.00,0.00,0.00,,0.00,20.0,-100.00,50.00
Net Profit,0.02,0.01,0.00,0.01,0.01,0.01,-0.01,0.0,0.01,0.04,-0.03,0.01
EPS in Rs,0.05,0.03,0.00,0.03,0.03,0.03,-0.03,0.0,0.03,0.11,-0.08,0.03
