,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,933.0,870.0,758.0,841.0,1295.0,1361.0,1660
Expenses,491.0,461.0,432.0,487.0,749.0,886.0,1095
Operating Profit,441.0,409.0,326.0,354.0,546.0,475.0,564
OPM %,47.0,47.0,43.0,42.0,42.0,35.0,34
Other Income,14.0,6.0,134.0,27.0,22.0,10.0,37
Interest,145.0,115.0,103.0,50.0,102.0,77.0,89
Depreciation,37.0,42.0,55.0,46.0,63.0,67.0,66
Profit before tax,274.0,258.0,301.0,285.0,402.0,341.0,446
Tax %,34.0,34.0,22.0,23.0,24.0,27.0,
Net Profit,181.0,171.0,234.0,220.0,306.0,250.0,333
EPS in Rs,96.47,91.58,7.32,7.27,10.07,8.19,10.92
