,2019-03-01,2019-09-01,2020-03-01,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,5.77,5.53,4.68,0.00,1.73,0.45,4.16,5.77,5.53,4.89
Expenses,3.14,3.49,3.03,0.06,3.29,0.56,2.43,2.81,4.14,5.25
Operating Profit,2.63,2.04,1.65,-0.06,-1.56,-0.11,1.73,2.96,1.39,-0.36
OPM %,45.58,36.89,35.26,,-90.17,-24.44,41.59,51.3,25.14,-7.36
Other Income,0.02,0.0,0.01,0.00,0.13,0.0,0.03,0.0,0.15,0.62
Interest,0.05,0.06,0.05,0.00,0.08,0.03,0.02,1.0,0.88,0.76
Depreciation,1.7,0.0,2.29,0.00,2.88,1.29,1.27,1.3,1.15,1.21
Profit before tax,0.9,1.98,-0.68,-0.06,-4.39,-1.43,0.47,0.66,-0.49,-1.71
Tax %,64.44,0.0,-110.29,0.00,30.3,-2.1,87.23,-1.52,32.65,0.0
Net Profit,0.33,1.98,-1.43,-0.06,-3.06,-1.45,0.06,0.66,-0.33,-1.71
EPS in Rs,0.51,3.05,-2.2,-0.09,-4.71,-2.23,0.09,1.02,-0.51,-2.63
