,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Promoters,74.04,74.53,74.53,74.53,74.53,74.53,74.53,74.53,74.53,74.53,74.53,74.53
FIIs,0.4,0.12,0.47,2.16,1.26,0.74,0.58,0.62,0.57,1.34,1.59,1.67
DIIs,19.13,18.19,16.49,14.65,13.94,14.07,14.16,13.86,14.04,14.01,13.14,13.05
Public,6.43,7.16,8.51,8.66,10.27,10.66,10.73,10.99,10.87,10.12,10.73,10.74
No. of Shareholders,19182.0,20339.0,24767.0,36484.0,56363.0,63365.0,68727.0,70950.0,61725.0,61428.0,75484.0,77390.0
