,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,18,18,65,65,65,65,65,65,65
Reserves,105,158,476,598,761,997,1371,1857,2095
Borrowings,123,204,408,380,520,768,1184,1910,1441
Other Liabilities,153,192,535,529,869,850,660,1074,1741
Total Liabilities,398,572,1484,1573,2216,2680,3280,4906,5342
Fixed Assets,116,204,412,462,483,484,459,635,737
CWIP,5,1,9,0,11,2,2,72,1
Investments,0,0,0,3,0,0,0,10,10
Other Assets,277,367,1064,1108,1722,2195,2819,4189,4594
Total Assets,398,572,1484,1573,2216,2680,3280,4906,5342
