,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,1,1,2,6,6,6,6,6,6,6
Reserves,0,0,0,3,5,5,-3,-12,-24,-24
Borrowings,4,6,6,7,13,17,22,22,22,22
Other Liabilities,3,6,6,13,4,7,3,2,1,1
Total Liabilities,8,13,14,29,27,35,28,18,6,6
Fixed Assets,2,2,0,1,1,1,1,0,0,0
CWIP,0,0,0,0,0,0,0,0,0,0
Investments,0,0,1,1,1,0,0,0,0,0
Other Assets,6,11,12,27,25,34,27,17,6,6
Total Assets,8,13,14,29,27,35,28,18,6,6
