,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,19,22,24,17.0,38.0,32.0,11.0,4.0,0,0.0
Expenses,18,21,22,15.0,36.0,30.0,16.0,11.0,12,11.0
Operating Profit,0,1,2,2.0,3.0,2.0,-5.0,-7.0,-12,-11.0
OPM %,2,3,7,9.0,7.0,7.0,-49.0,-158.0,,
Other Income,0,0,0,0.0,1.0,1.0,0.0,1.0,-0,0.0
Interest,0,1,1,1.0,1.0,2.0,3.0,3.0,0,0.0
Depreciation,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Profit before tax,-0,-0,1,1.0,2.0,1.0,-8.0,-10.0,-13,-11.0
Tax %,-267,-100,26,29.0,25.0,21.0,0.0,0.0,0,
Net Profit,-0,-0,1,1.0,2.0,1.0,-8.0,-10.0,-13,-11.0
EPS in Rs,,,,0.93,2.55,1.44,-13.45,-15.87,-20.91,-18.89
