,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,2464.0,2674.0,3055.0,3626.0,3379.0,3296.0,4022.0,5024.0,5452
Expenses,2187.0,2390.0,2790.0,3251.0,3085.0,2909.0,3610.0,4290.0,4604
Operating Profit,277.0,283.0,265.0,376.0,295.0,387.0,412.0,734.0,848
OPM %,11.0,11.0,9.0,10.0,9.0,12.0,10.0,15.0,16
Other Income,49.0,83.0,72.0,63.0,52.0,17.0,27.0,29.0,33
Interest,9.0,3.0,12.0,13.0,14.0,50.0,106.0,210.0,272
Depreciation,111.0,111.0,123.0,94.0,87.0,84.0,101.0,105.0,108
Profit before tax,205.0,253.0,203.0,331.0,245.0,270.0,232.0,449.0,501
Tax %,19.0,31.0,33.0,34.0,23.0,27.0,26.0,26.0,
Net Profit,165.0,174.0,136.0,220.0,188.0,197.0,171.0,332.0,371
EPS in Rs,11.44,12.02,9.66,15.16,12.81,13.48,12.07,22.96,25.59
