,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,29,29,29,29,29,29,29,29,29
Reserves,1415,1588,1547,1670,1716,1893,2053,2275,2444
Borrowings,7,12,142,90,189,849,1965,3244,3328
Other Liabilities,519,541,783,807,825,1026,975,1169,1215
Total Liabilities,1970,2170,2500,2595,2759,3797,5021,6717,7017
Fixed Assets,475,440,702,663,623,698,721,689,781
CWIP,29,15,30,41,78,55,43,69,44
Investments,791,988,675,711,433,834,738,658,263
Other Assets,674,727,1093,1180,1626,2210,3519,5302,5928
Total Assets,1970,2170,2500,2595,2759,3797,5021,6717,7017
