,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0.01,0.1,0.19,3.15,3.15,3.15,3.15,3.15,3.15,3.15,3.15,3.15
Reserves,0.0,0.3,0.84,2.0,2.2,3.01,3.36,3.83,4.21,5.32,6.18,6.85
Borrowings,0.31,0.43,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Liabilities,0.0,0.01,0.51,0.31,0.4,0.52,0.37,0.65,0.77,0.97,1.37,1.33
Total Liabilities,0.32,0.84,1.54,5.53,5.75,6.68,6.88,7.63,8.13,9.44,10.7,11.33
Fixed Assets,0.0,0.0,0.12,0.24,0.37,0.33,0.31,0.3,0.43,0.4,0.34,0.33
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.0,0.75,1.26,1.11,1.79,2.61,4.91,6.21,6.63,7.24,8.09,8.63
Other Assets,0.32,0.09,0.16,4.18,3.59,3.74,1.66,1.12,1.07,1.8,2.27,2.37
Total Assets,0.32,0.84,1.54,5.53,5.75,6.68,6.88,7.63,8.13,9.44,10.7,11.33
