,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,15.0,17.51,21.09,23.92,23.93,26.85,28.74,30.48,31.41,28.71,35.93,46.69,43.03
Expenses,13.43,15.31,18.36,21.39,20.71,22.58,24.54,25.79,27.56,26.22,30.67,39.76,38.94
Operating Profit,1.57,2.2,2.73,2.53,3.22,4.27,4.2,4.69,3.85,2.49,5.26,6.93,4.09
OPM %,10.47,12.56,12.94,10.58,13.46,15.9,14.61,15.39,12.26,8.67,14.64,14.84,9.50
Other Income,0.1,1.03,0.08,0.13,0.42,-0.22,0.14,0.26,0.2,0.42,0.92,0.11,0.07
Interest,0.34,0.44,0.34,0.28,0.47,0.74,0.61,0.52,0.22,0.08,0.11,0.31,0.28
Depreciation,0.8,1.37,1.11,1.35,2.31,2.72,1.88,1.25,1.06,0.78,0.6,2.49,2.09
Profit before tax,0.53,1.42,1.36,1.03,0.86,0.59,1.85,3.18,2.77,2.05,5.47,4.24,1.79
Tax %,18.87,20.42,12.5,23.3,31.4,71.19,23.78,28.62,28.52,28.29,24.68,21.7,
Net Profit,0.43,1.13,1.2,0.79,0.6,0.17,1.41,2.27,1.98,1.47,4.13,3.31,1.27
EPS in Rs,1.15,3.03,3.21,2.12,1.61,0.46,3.78,6.08,5.3,3.94,11.06,8.86,3.39
