,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Equity Capital,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
Reserves,3.23,3.33,3.37,3.37,3.3,3.37,3.37,3.39,3.4,3.41,3.41,3.42
Borrowings,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.03,0.01,0.0,0.0,0.0
Other Liabilities,10.96,6.74,0.55,6.2,0.17,0.17,3.73,0.28,0.31,0.17,0.23,0.08
Total Liabilities,44.19,40.07,33.92,39.57,33.47,33.54,37.2,33.7,33.72,33.58,33.64,33.5
Fixed Assets,1.27,0.8,0.52,0.61,0.14,0.22,0.28,0.2,0.14,0.1,0.07,0.05
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,16.78,10.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Assets,26.14,28.49,33.4,38.96,33.33,33.32,36.92,33.5,33.58,33.48,33.57,33.45
Total Assets,44.19,40.07,33.92,39.57,33.47,33.54,37.2,33.7,33.72,33.58,33.64,33.5
