,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Promoters,63.36,63.36,63.36,63.36,63.36,63.36,63.36,63.37,63.37,63.37,63.37,63.37
FIIs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01
DIIs,0.77,0.77,0.75,0.48,0.48,0.49,0.49,0.48,0.48,0.48,0.48,0.48
Public,35.87,35.87,35.89,36.15,36.15,36.15,36.15,36.14,36.16,36.16,36.15,36.15
No. of Shareholders,15154.0,15024.0,15013.0,15019.0,15250.0,15229.0,15158.0,15014.0,14914.0,14824.0,14676.0,14576.0
