,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,1.77,0.41,1.23,0.06,0.23,0.3,0.13,0.44,1.3,0.41,-0.13,0.42,0.48
Expenses,0.33,0.99,0.46,0.31,0.58,0.34,0.33,0.38,0.34,0.56,0.47,0.33,0.34
Operating Profit,1.44,-0.58,0.77,-0.25,-0.35,-0.04,-0.2,0.06,0.96,-0.15,-0.60,0.09,0.14
OPM %,81.36,-141.46,62.6,-416.67,-152.17,-13.33,-153.85,13.64,73.85,-36.59,,21.43,29.17
Other Income,0.0,0.0,0.0,0.05,0.0,0.06,0.09,0.08,0.01,0.25,0.26,0.25,0.25
Interest,0.66,0.0,0.3,0.09,0.09,0.0,0.2,0.1,0.1,0.10,0.10,0.1,0.19
Depreciation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.03,0.01,0.01
Profit before tax,0.78,-0.58,0.47,-0.29,-0.44,0.02,-0.31,0.04,0.87,0.00,-0.47,0.23,0.19
Tax %,25.64,25.86,8.51,0.0,-427.27,0.0,0.0,0.0,0.0,,-10.64,0.0,0.0
Net Profit,0.58,-0.43,0.42,-0.29,-2.32,0.02,-0.31,0.04,0.87,0.00,-0.52,0.23,0.19
EPS in Rs,0.63,-0.46,0.45,-0.31,-2.51,0.02,-0.33,0.04,0.94,0.00,-0.56,0.25,0.21
