,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,19.0,11,18,0,1,2
Inventory Days,63.0,35,48,71,68,80
Days Payable,7.0,3,10,7,5,9
Cash Conversion Cycle,75.0,43,56,64,64,72
Working Capital Days,69.0,42,54,64,62,69
ROCE %,,14,13,14,24,20
