,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,14,14,14,14,14,14,14,14,14
Reserves,15,36,54,21,19,39,124,166,207
Borrowings,64,69,67,61,51,51,52,56,51
Other Liabilities,14,6,8,14,10,8,9,5,5
Total Liabilities,107,124,143,110,93,112,199,242,277
Fixed Assets,28,31,33,30,27,25,23,21,21
CWIP,2,4,0,0,0,0,0,0,0
Investments,5,24,42,9,6,26,115,159,201
Other Assets,72,65,68,71,60,61,61,62,55
Total Assets,107,124,143,110,93,112,199,242,277
