,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,136.0,153.0,157.0,191.0,175.0,149.0,167.0,167.0,163
Expenses,123.0,141.0,147.0,182.0,167.0,142.0,162.0,165.0,162
Operating Profit,12.0,11.0,11.0,9.0,8.0,7.0,5.0,2.0,1
OPM %,9.0,8.0,7.0,5.0,4.0,5.0,3.0,1.0,0
Other Income,2.0,2.0,2.0,4.0,3.0,2.0,3.0,3.0,3
Interest,7.0,7.0,8.0,9.0,7.0,6.0,5.0,4.0,5
Depreciation,4.0,4.0,4.0,4.0,3.0,2.0,3.0,2.0,2
Profit before tax,3.0,2.0,1.0,1.0,0.0,1.0,0.0,-1.0,-3
Tax %,31.0,1.0,59.0,-13.0,-93.0,35.0,22.0,-15.0,
Net Profit,2.0,2.0,0.0,1.0,-0.0,1.0,0.0,-1.0,-3
EPS in Rs,1.53,1.37,0.31,0.49,-0.04,0.49,0.08,-1.01,-1.94
