,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Sales,16.08,39.47,51.18,56.92
Expenses,8.38,21.4,38.92,44.41
Operating Profit,7.7,18.07,12.26,12.51
OPM %,47.89,45.78,23.95,21.98
Other Income,0.18,0.74,0.65,1.15
Interest,0.72,0.88,1.17,0.81
Depreciation,1.07,1.14,1.11,1.24
Profit before tax,6.09,16.79,10.63,11.61
Tax %,26.6,24.6,22.2,21.53
Net Profit,4.47,12.66,8.27,9.11
EPS in Rs,19.87,56.27,36.76,5.19
