,2023-09-01
Depreciation,0.91
EPS in Rs,2.09
Expenses,33.12
Interest,1.2
Net Profit,5.22
OPM %,20.4
Operating Profit,8.49
Other Income,0.38
Profit before tax,6.76
Sales,41.61
Tax %,22.63
