,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,8.73,8.73,8.73,8.73,8.73,8.73,8.73,8.73,8.73,8.73,8.73,8.73
Reserves,-4.97,-4.96,-4.95,-4.95,-4.94,-4.72,-4.54,-4.54,-4.53,-4.49,-4.4,-4.02
Borrowings,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.25,4.98,0.0,0.0,0.0
Other Liabilities,0.13,0.11,0.12,0.15,0.04,28.79,13.93,6.8,0.46,1.03,2.52,11.94
Total Liabilities,3.89,3.88,3.9,3.93,4.21,32.8,18.12,11.24,9.64,5.27,6.85,16.65
Fixed Assets,0.0,0.0,0.0,0.0,0.0,0.05,0.1,0.08,0.06,0.06,0.05,0.05
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.0,0.0,0.0,0.84,0.85,0.01,0.0,0.0,0.0,0.0,0.0,0.0
Other Assets,3.89,3.88,3.9,3.09,3.36,32.74,18.02,11.16,9.58,5.21,6.8,16.6
Total Assets,3.89,3.88,3.9,3.93,4.21,32.8,18.12,11.24,9.64,5.27,6.85,16.65
