,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.12,0.15,0.17,0.18,0.51,100.32,144.14,30.74,34.44,36.68,37.01,71.36
Expenses,0.11,0.14,0.16,0.17,0.51,100.01,143.95,30.71,34.37,36.62,36.88,70.49
Operating Profit,0.01,0.01,0.01,0.01,0.00,0.31,0.19,0.03,0.07,0.06,0.13,0.87
OPM %,8.33,6.67,5.88,5.56,0.00,0.31,0.13,0.1,0.2,0.16,0.35,1.22
Other Income,0.0,0.0,0.0,0.0,0.00,0.01,0.09,0.01,0.0,0.0,0.0,0.00
Interest,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.02,0.0,0.0,0.00
Depreciation,0.0,0.0,0.0,0.0,0.00,0.0,0.04,0.05,0.02,0.01,0.01,0.00
Profit before tax,0.01,0.01,0.01,0.01,0.00,0.32,0.24,-0.01,0.03,0.05,0.12,0.87
Tax %,0.0,0.0,0.0,0.0,,31.25,29.17,0.0,33.33,20.0,25.0,
Net Profit,0.01,0.01,0.01,0.01,0.00,0.22,0.18,0.0,0.02,0.04,0.09,0.84
EPS in Rs,0.01,0.01,0.01,0.01,0.00,0.25,0.21,0.0,0.02,0.05,0.1,0.96
