,2011-12-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,107,183,120,153,361,225,317,243,364,750,860,717
Cash from Investing Activity,-99,25,39,32,-149,-228,-190,-280,-193,-529,11,-514
Cash from Financing Activity,-3,-6,-294,-126,-95,-33,-152,79,-340,-235,-772,-291
Net Cash Flow,5,202,-136,60,118,-36,-25,42,-169,-14,99,-89
