,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,506,565,534,622,537.0,645.0,655.0,667.0,638.0,642.0
Expenses,483,541,507,591,511.0,619.0,613.0,601.0,584.0,582.0
Operating Profit,23,24,27,31,26.0,25.0,42.0,67.0,54.0,60.0
OPM %,5,4,5,5,5.0,4.0,6.0,10.0,8.0,9.0
Other Income,2,4,8,7,5.0,11.0,0.0,9.0,7.0,5.0
Interest,9,9,13,9,9.0,9.0,7.0,8.0,7.0,6.0
Depreciation,3,3,3,3,3.0,3.0,3.0,3.0,3.0,3.0
Profit before tax,14,16,19,26,19.0,25.0,32.0,64.0,51.0,57.0
Tax %,22,28,25,32,26.0,25.0,28.0,25.0,26.0,25.0
Net Profit,11,12,14,18,14.0,19.0,23.0,48.0,38.0,42.0
EPS in Rs,,,,,1.38,1.81,2.2,4.67,3.65,4.08
