,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.0,2227,2504.0,2602
Expenses,0.0,2121,2344.0,2380
Operating Profit,0.0,106,160.0,223
OPM %,,5,6.0,9
Other Income,0.0,22,26.0,22
Interest,0.0,41,33.0,28
Depreciation,0.0,12,12.0,13
Profit before tax,0.0,76,140.0,204
Tax %,,28,26.0,
Net Profit,0.0,55,104.0,151
EPS in Rs,,,10.06,14.60
