,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,64.23,64.23,64.23,64.23,64.23,64.23,64.23,64.23,64.23
Public,35.77,35.77,35.77,35.76,35.76,35.76,35.76,35.75,35.76
No. of Shareholders,1554.0,1558.0,1550.0,1526.0,1529.0,1521.0,1530.0,1921.0,1903.0
