,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,121.48,144.02,59.49,30.19,29.45,20.12,10.59,152.83,236.35,118.06,81.55,34.03,30.85
Expenses,116.78,137.07,58.79,29.45,29.9,19.75,10.89,150.05,228.7,116.21,78.09,35.5,32.75
Operating Profit,4.7,6.95,0.7,0.74,-0.45,0.37,-0.3,2.78,7.65,1.85,3.46,-1.47,-1.90
OPM %,3.87,4.83,1.18,2.45,-1.53,1.84,-2.83,1.82,3.24,1.57,4.24,-4.32,-6.16
Other Income,0.53,0.66,1.8,1.79,2.99,1.56,2.05,1.32,1.78,5.8,3.15,5.83,4.93
Interest,3.51,4.03,0.3,0.89,0.64,0.57,0.57,2.17,5.77,3.47,3.33,2.78,2.48
Depreciation,0.27,0.31,0.29,0.31,0.21,0.16,0.13,0.13,0.19,0.17,0.14,0.15,0.14
Profit before tax,1.45,3.27,1.91,1.33,1.69,1.2,1.05,1.8,3.47,4.01,3.14,1.43,0.41
Tax %,33.79,33.33,15.71,7.52,3.55,-4.17,12.38,30.0,20.17,8.73,8.6,0.7,
Net Profit,0.96,2.18,1.61,1.23,1.63,1.26,0.92,1.27,2.77,3.67,2.87,1.42,0.44
EPS in Rs,0.48,0.76,0.8,0.62,0.82,0.63,0.46,0.64,1.38,1.84,1.44,0.71,0.22
