,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,0.0,14,2,9,1.0
Inventory Days,127.0,12,72,65,7.0
Days Payable,0.0,6,4,3,1.0
Cash Conversion Cycle,127.0,20,70,70,7.0
Working Capital Days,143.0,21,71,72,8.0
ROCE %,,-2,1,2,
