,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1.58,2.4,2.41,3.53,4.38,5.25
Expenses,1.17,1.67,1.54,2.54,3.19,3.99
Operating Profit,0.41,0.73,0.87,0.99,1.19,1.26
OPM %,25.95,30.42,36.1,28.05,27.17,24.00
Other Income,0.03,0.04,0.03,0.04,0.09,0.08
Interest,0.0,0.01,0.01,0.02,0.06,0.06
Depreciation,0.04,0.06,0.07,0.11,0.19,0.15
Profit before tax,0.4,0.7,0.82,0.9,1.03,1.13
Tax %,25.0,27.14,26.83,24.44,24.27,
Net Profit,0.3,0.52,0.61,0.69,0.77,0.89
EPS in Rs,2.05,3.55,4.17,1.85,2.07,2.39
