,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,1.46,1.46,1.46,3.73,3.73,3.73
Reserves,0.47,0.99,1.59,1.32,2.06,2.63
Borrowings,0.17,0.15,0.0,0.71,0.51,0.26
Other Liabilities,0.27,0.37,0.33,0.32,0.63,0.79
Total Liabilities,2.37,2.97,3.38,6.08,6.93,7.41
Fixed Assets,0.08,0.11,0.65,2.18,2.43,2.45
CWIP,0.73,0.92,0.51,0.0,0.0,0.0
Investments,0.55,0.35,0.48,1.29,1.34,1.55
Other Assets,1.01,1.59,1.74,2.61,3.16,3.41
Total Assets,2.37,2.97,3.38,6.08,6.93,7.41
