,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1.55,3.76,4.54,6.54,10.93,15.94,10.84,12.81,13.59,24.88,21.53,19.79,24.49
Expenses,1.79,3.16,4.12,5.83,9.97,14.12,9.43,11.22,11.2,20.71,17.68,16.24,21.19
Operating Profit,-0.24,0.6,0.42,0.71,0.96,1.82,1.41,1.59,2.39,4.17,3.85,3.55,3.30
OPM %,-15.48,15.96,9.25,10.86,8.78,11.42,13.01,12.41,17.59,16.76,17.88,17.94,13.47
Other Income,-0.17,0.0,0.01,0.0,0.01,0.01,0.01,0.0,0.02,0.33,0.49,0.01,0.01
Interest,0.0,0.0,0.0,0.01,0.01,0.07,0.24,0.2,0.23,0.1,0.24,0.39,0.22
Depreciation,0.24,0.25,0.26,0.54,0.49,0.35,0.35,0.34,0.34,0.37,0.42,0.43,0.73
Profit before tax,-0.65,0.35,0.17,0.16,0.47,1.41,0.83,1.05,1.84,4.03,3.68,2.74,2.36
Tax %,0.0,0.0,0.0,0.0,10.64,0.71,3.61,2.86,11.41,16.38,33.97,22.63,
Net Profit,-0.65,0.35,0.17,0.16,0.43,1.4,0.8,1.03,1.64,3.37,2.43,2.12,1.81
EPS in Rs,-1.44,0.78,0.33,0.26,0.67,2.17,1.24,1.6,2.55,5.24,3.78,3.29,2.81
