,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,75.0,75.0,75.0,75.0,75.0
FIIs,3.37,4.93,4.71,4.81,4.32
DIIs,11.63,1.6,1.5,7.88,8.02
Public,10.0,18.47,18.79,12.31,12.63
No. of Shareholders,54689.0,53701.0,69646.0,64144.0,61793.0
