,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,12.06,10.42,10.25,9.9,6.99,18.37,15.79,16.51,33.26,16.17,11.69,11.18,9.97
Expenses,9.21,8.36,8.21,8.97,5.23,4.21,6.21,11.11,26.66,12.8,7.7,11.39,10.53
Operating Profit,2.85,2.06,2.04,0.93,1.76,14.16,9.58,5.4,6.6,3.37,3.99,-0.21,-0.56
OPM %,23.63,19.77,19.9,9.39,25.18,77.08,60.67,32.71,19.84,20.84,34.13,-1.88,-5.62
Other Income,-0.01,0.0,-0.05,0.0,-0.02,-0.05,-0.33,0.07,0.61,0.15,1.41,0.0,1.37
Interest,0.01,0.04,0.04,0.42,0.46,0.91,1.36,2.32,3.81,0.6,0.19,0.58,0.51
Depreciation,0.18,0.24,0.2,0.21,0.09,0.03,0.05,0.17,0.52,0.43,0.22,0.55,0.65
Profit before tax,2.65,1.78,1.75,0.3,1.19,13.17,7.84,2.98,2.88,2.49,4.99,-1.34,-0.35
Tax %,35.47,23.03,-4.57,-123.33,3.36,0.84,5.87,16.78,44.1,34.94,26.85,2.99,
Net Profit,1.71,1.38,1.82,0.67,1.06,13.25,7.47,2.5,1.6,1.62,3.65,-1.31,-1.06
EPS in Rs,2.37,1.03,1.42,0.44,0.93,10.19,5.46,1.38,0.12,0.47,1.84,-1.0,-0.80
