,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,2729,2606.0,2650.0,3954.0,5685.0,5045
Expenses,1941,2167.0,2052.0,2785.0,3719.0,3482
Operating Profit,788,439.0,598.0,1168.0,1965.0,1563
OPM %,29,17.0,23.0,30.0,35.0,31
Other Income,78,190.0,199.0,161.0,172.0,68
Interest,56,105.0,113.0,78.0,117.0,135
Depreciation,164,192.0,202.0,205.0,236.0,257
Profit before tax,645,332.0,482.0,1045.0,1785.0,1239
Tax %,-93,43.0,146.0,26.0,26.0,
Net Profit,1246,189.0,-222.0,776.0,1323.0,916
EPS in Rs,,17.87,-19.91,71.66,120.97,83.31
