,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,11,11,11,11,11,11
Reserves,3499,3705,3482,4244,5510,5740
Borrowings,968,1718,1591,1556,1515,1664
Other Liabilities,441,634,885,1067,1335,1223
Total Liabilities,4919,6067,5969,6878,8371,8638
Fixed Assets,2305,2414,2367,2514,3111,3391
CWIP,229,318,400,680,1158,1376
Investments,342,259,88,20,1,1
Other Assets,2042,3076,3114,3665,4101,3870
Total Assets,4919,6067,5969,6878,8371,8638
