,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,425.0,422.0,524.0,696.0,742
Expenses,396.0,389.0,490.0,658.0,697
Operating Profit,29.0,32.0,34.0,39.0,44
OPM %,7.0,8.0,6.0,6.0,6
Other Income,1.0,1.0,1.0,1.0,1
Interest,20.0,21.0,20.0,22.0,25
Depreciation,4.0,5.0,5.0,5.0,5
Profit before tax,6.0,7.0,10.0,13.0,15
Tax %,28.0,28.0,31.0,27.0,
Net Profit,4.0,5.0,7.0,9.0,11
EPS in Rs,2.24,2.5,3.32,4.0,4.81
