,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,297.0,339.0,358.0,384.0
Expenses,280.0,320.0,338.0,359.0
Operating Profit,17.0,19.0,19.0,25.0
OPM %,6.0,6.0,5.0,6.0
Other Income,0.0,1.0,1.0,1.0
Interest,10.0,12.0,11.0,14.0
Depreciation,2.0,2.0,2.0,3.0
Profit before tax,5.0,6.0,7.0,9.0
Tax %,35.0,26.0,29.0,29.0
Net Profit,3.0,4.0,5.0,6.0
EPS in Rs,1.59,2.15,2.12,2.69
