,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,839,839,839,1030,1030,1030,1030.0
Reserves,1012,1046,1203,1796,2107,2605,2823.0
Preference Capital,119,119,119,0,0,0,
Borrowings,4077,3788,3640,4081,4029,4295,2522.0
Other Liabilities,2622,2387,2536,1958,1779,2783,5102.0
Total Liabilities,8551,8060,8219,8865,8945,10713,11477.0
Fixed Assets,1879,2152,2167,1899,1921,1903,2039.0
CWIP,18,22,24,53,2,20,32.0
Investments,1,3,0,0,1,4,4.0
Other Assets,6654,5884,6027,6913,7021,8785,9400.0
Total Assets,8551,8060,8219,8865,8945,10713,11477.0
