,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,58.0,52,100,33
Inventory Days,291.0,238,247,211
Days Payable,164.0,93,130,87
Cash Conversion Cycle,185.0,197,217,156
Working Capital Days,142.0,143,145,137
ROCE %,,10,11,18
