,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,169,205,208,235,258
Expenses,157,194,196,214,234
Operating Profit,12,11,12,21,24
OPM %,7,5,6,9,9
Other Income,0,3,4,4,5
Interest,8,9,12,13,14
Depreciation,3,3,3,2,2
Profit before tax,1,2,3,10,14
Tax %,-13,28,60,27,
Net Profit,1,1,1,7,10
EPS in Rs,,,,,
