,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,4,4,4,4,9.0
Reserves,26,27,28,42,78.0
Preference Capital,0,0,0,0,
Borrowings,59,94,96,86,104.0
Other Liabilities,93,60,94,84,66.0
Total Liabilities,182,185,221,216,258.0
Fixed Assets,0,17,15,13,15.0
CWIP,0,0,0,3,3.0
Investments,0,0,0,0,0.0
Other Assets,182,168,206,200,239.0
Total Assets,182,185,221,216,258.0
