,2022-09-01,2023-09-01
Sales,35.5,40.32
Expenses,26.19,32.22
Operating Profit,9.31,8.1
OPM %,26.23,20.09
Other Income,0.25,0.88
Interest,0.56,1.33
Depreciation,1.91,4.4
Profit before tax,7.09,3.25
Tax %,25.39,36.31
Net Profit,5.29,2.07
EPS in Rs,7.06,1.05
