,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,114.17,139.96,191.78,100.84
Inventory Days,,,455.71,574.51
Days Payable,,,198.79,207.54
Cash Conversion Cycle,114.17,139.96,448.69,467.81
Working Capital Days,162.21,302.09,334.48,267.09
ROCE %,,8.33,10.44,9.61
