,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,47.86,30.46,38.75,42.35,38.62
Expenses,39.17,27.06,33.19,36.16,34.62
Operating Profit,8.69,3.4,5.56,6.19,4.00
OPM %,18.16,11.16,14.35,14.62,10.36
Other Income,0.45,0.58,0.48,0.71,0.78
Interest,0.83,1.51,1.79,1.79,1.84
Depreciation,0.47,0.6,0.94,1.48,1.88
Profit before tax,7.84,1.87,3.31,3.63,1.06
Tax %,20.66,-17.65,6.04,30.03,
Net Profit,6.23,2.2,3.11,2.54,-0.01
EPS in Rs,6.05,2.14,2.87,2.34,-0.02
