,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.2,0.23
Expenses,0.13,0.23,0.15,0.40,0.20,0.17,0.22,3.11,0.22,0.17,5.41,0.48,0.98
Operating Profit,-0.13,-0.23,-0.15,-0.40,-0.20,-0.17,-0.22,-3.11,-0.22,-0.17,-5.41,-0.28,-0.75
OPM %,,,,,,,,,,,,-140.0,-326.09
Other Income,0.41,3.41,-0.34,0.17,0.26,0.13,0.15,0.18,0.13,0.12,0.03,0.0,0.00
Interest,0.02,0.04,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.0,0.00
Depreciation,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.00
Profit before tax,0.26,3.14,-0.49,-0.23,0.06,-0.04,-0.09,-2.93,-0.09,-0.05,-5.38,-0.28,-0.75
Tax %,3.85,0.64,4.08,-17.39,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.0,
Net Profit,0.26,3.12,-0.47,-0.27,0.05,-0.04,-0.09,-2.93,-0.09,-0.05,-5.38,-0.28,-0.75
EPS in Rs,0.18,2.18,-0.33,-0.19,0.03,-0.03,-0.06,-2.05,-0.06,-0.03,-3.76,-0.2,-0.53
