,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,27.34,29.93,31.71,22.62,31.45,31.46,30.94,32.45,37.36,44.55,35.41,37.79,37.4
Expenses,24.4,25.94,27.64,20.33,27.81,27.21,27.68,28.95,32.59,38.48,31.02,32.57,31.69
Operating Profit,2.94,3.99,4.07,2.29,3.64,4.25,3.26,3.5,4.77,6.07,4.39,5.22,5.71
OPM %,10.75,13.33,12.84,10.12,11.57,13.51,10.54,10.79,12.77,13.63,12.4,13.81,15.27
Other Income,0.1,0.07,0.09,0.09,0.09,-3.08,2.15,0.1,0.18,0.12,0.23,0.13,0.13
Interest,1.24,1.12,1.04,0.9,0.93,0.88,1.06,0.82,1.01,1.23,1.27,1.06,1.05
Depreciation,0.76,0.76,0.73,0.72,0.72,0.72,0.74,0.74,0.75,0.76,0.78,0.76,0.78
Profit before tax,1.04,2.18,2.39,0.76,2.08,-0.43,3.61,2.04,3.19,4.2,2.57,3.53,4.01
Tax %,-44.23,16.97,20.08,30.26,24.52,44.19,13.3,22.55,26.02,35.0,31.91,25.21,26.43
Net Profit,1.51,1.82,1.91,0.53,1.57,-0.23,3.14,1.57,2.36,2.73,1.75,2.64,2.96
EPS in Rs,4.44,5.35,5.62,1.56,4.62,-0.68,9.24,4.62,6.94,8.03,5.15,7.76,8.71
