,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,61.0,146.0,121.0,81.0,91.0,110.0,197.0,240.0,267
Expenses,48.0,129.0,96.0,57.0,58.0,78.0,148.0,181.0,201
Operating Profit,12.0,17.0,25.0,24.0,33.0,33.0,49.0,59.0,66
OPM %,20.0,11.0,21.0,30.0,36.0,30.0,25.0,24.0,25
Other Income,0.0,0.0,1.0,0.0,2.0,2.0,3.0,6.0,7
Interest,5.0,7.0,8.0,8.0,13.0,11.0,5.0,5.0,5
Depreciation,2.0,2.0,3.0,4.0,4.0,4.0,4.0,6.0,8
Profit before tax,6.0,8.0,15.0,12.0,18.0,20.0,44.0,54.0,60
Tax %,33.0,34.0,23.0,20.0,17.0,16.0,17.0,11.0,
Net Profit,4.0,5.0,12.0,9.0,15.0,17.0,36.0,48.0,53
EPS in Rs,3.82,5.1,11.4,9.08,14.73,13.85,29.81,39.38,43.68
