,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,10,10,10,10,10,12,12,12,12
Reserves,22,27,38,45,58,78,114,160,187
Borrowings,41,54,92,114,105,52,42,49,76
Other Liabilities,80,29,51,128,227,345,442,538,646
Total Liabilities,153,120,191,297,400,488,610,759,922
Fixed Assets,8,12,16,25,29,48,121,171,216
CWIP,0,0,0,0,0,0,0,0,0
Investments,2,2,23,19,17,0,0,0,0
Other Assets,142,105,153,254,354,440,488,589,706
Total Assets,153,120,191,297,400,488,610,759,922
