,2006-03-01,2007-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,4,4,4,4,4,4,4,4,4,4,4,4
Reserves,0,0,-1,-1,-1,-1,-1,0,0,1,7,12
Borrowings,1,1,0,0,0,0,0,0,10,0,0,1
Other Liabilities,2,1,3,2,0,0,0,1,24,219,1144,1883
Total Liabilities,6,6,6,5,3,3,4,4,39,224,1154,1906
Fixed Assets,2,2,1,0,0,0,0,0,0,0,0,0
CWIP,0,0,0,0,0,0,0,0,0,0,0,0
Investments,0,0,0,0,0,0,0,0,0,0,0,0
Other Assets,4,4,4,5,3,3,4,4,38,224,1154,1906
Total Assets,6,6,6,5,3,3,4,4,39,224,1154,1906
