,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,32,32,32,36,36,44
Reserves,586,479,459,678,687,1745
Borrowings,2501,3355,2734,2954,3324,2214
Other Liabilities,1494,1524,1644,1986,2070,2000
Total Liabilities,4612,5390,4868,5654,6117,6003
Fixed Assets,2019,2021,1987,2141,2296,2144
CWIP,13,8,16,12,35,17
Investments,60,50,112,100,105,91
Other Assets,2521,3310,2754,3401,3681,3751
Total Assets,4612,5390,4868,5654,6117,6003
