,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,372,190,712,621,712
Cash from Investing Activity,-236,-337,102,-383,-243
Cash from Financing Activity,-17,557,-1167,217,-377
Net Cash Flow,120,410,-353,455,92
