,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,9.84,10.74,11.36,12.24,16.96,19.0,20.34
Expenses,8.42,9.42,9.72,10.49,15.3,17.11,17.52
Operating Profit,1.42,1.32,1.64,1.75,1.66,1.89,2.82
OPM %,14.43,12.29,14.44,14.3,9.79,9.95,13.86
Other Income,1.05,0.04,0.03,0.04,0.28,0.39,0.02
Interest,0.0,0.0,0.0,0.0,0.05,0.07,0.02
Depreciation,0.05,0.07,0.07,0.07,0.08,0.2,0.18
Profit before tax,2.42,1.29,1.6,1.72,1.81,2.01,2.64
Tax %,7.44,9.3,9.38,15.12,7.18,50.75,19.7
Net Profit,2.24,1.17,1.45,1.46,1.68,1.0,2.12
EPS in Rs,1.29,0.68,0.84,0.8,0.93,0.55,1.12
