,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,,-15.19,5.24
Cash from Investing Activity,,-0.59,-6.26
Cash from Financing Activity,,16.99,23.6
Net Cash Flow,,1.22,22.58
