,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,7.16,7.2,7.2,7.56,7.95,7.93,7.93,7.93,7.93,7.93
Reserves,12.18,12.6,13.34,13.96,14.86,14.61,16.23,15.72,17.78,19.49
Borrowings,1.32,2.99,0.0,0.0,7.36,7.0,9.01,0.0,0.0,0.0
Other Liabilities,2.03,1.6800000000000002,5.71,3.1,1.82,1.36,3.6,9.05,5.9,6.64
Total Liabilities,22.69,24.47,26.25,24.62,31.99,30.9,36.77,32.7,31.61,34.06
Fixed Assets,2.96,7.31,8.22,8.11,10.52,10.75,12.93,13.31,8.98,9.1
CWIP,0.67,0.67,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.14,6.41,6.62,2.59,2.95,2.93,4.11,4.13,0.01,0.01
Other Assets,18.92,10.08,11.41,12.97,18.52,17.22,19.73,15.26,22.62,24.95
Total Assets,22.69,24.47,26.25,24.62,31.99,30.9,36.77,32.7,31.61,34.06
