,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Equity Capital,3,3,3,3,3
Reserves,187,185,195,233,278
Borrowings,33,43,15,154,192
Other Liabilities,54,66,79,86,101
Total Liabilities,277,297,292,476,574
Fixed Assets,44,47,41,179,237
CWIP,5,1,0,1,0
Investments,0,0,0,0,0
Other Assets,228,249,251,296,338
Total Assets,277,297,292,476,574
