,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,63.73,63.48,45.23,27.77,14.24,14.87,10.01,6.67,1.33,0.13,0.63,5.83,6.07
Expenses,55.78,57.01,46.91,25.34,13.77,14.08,8.89,5.59,1.91,1.27,1.1,5.52,4.50
Operating Profit,7.95,6.47,-1.68,2.43,0.47,0.79,1.12,1.08,-0.58,-1.14,-0.47,0.31,1.57
OPM %,12.47,10.19,-3.71,8.75,3.3,5.31,11.19,16.19,-43.61,-876.92,-74.6,5.32,25.86
Other Income,0.43,0.74,0.46,-1.31,0.48,0.39,0.36,0.33,0.33,-1.51,0.15,0.0,0.30
Interest,0.0,0.0,0.17,0.17,0.13,0.06,0.05,0.05,0.05,0.02,0.01,0.0,0.00
Depreciation,7.88,7.04,4.41,3.2,0.4,0.87,1.23,3.09,4.48,4.59,3.34,2.17,1.95
Profit before tax,0.5,0.17,-5.8,-2.25,0.42,0.25,0.2,-1.73,-4.78,-7.26,-3.67,-1.86,-0.08
Tax %,140.0,0.0,8.79,20.0,88.1,56.0,40.0,-0.58,-2.09,3.03,7.9,11.29,
Net Profit,-0.21,0.18,-5.29,-1.8,0.06,0.12,0.12,-1.74,-4.89,-7.04,-3.38,-1.65,0.33
EPS in Rs,-0.2,0.17,-5.09,-1.73,0.06,0.12,0.12,-1.67,-4.7,-6.77,-3.25,-1.59,0.32
