,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,26.76,33.46,41.45,41.19,47.51,48.02,51.86,55.52,57.27,68.6,57.92,75.33,76.74
Expenses,23.61,29.63,35.08,35.4,41.04,41.3,47.44,49.79,51.1,59.01,50.92,66.76,70.98
Operating Profit,3.15,3.83,6.37,5.79,6.47,6.72,4.42,5.73,6.17,9.59,7.0,8.57,5.76
OPM %,11.77,11.45,15.37,14.06,13.62,13.99,8.52,10.32,10.77,13.98,12.09,11.38,7.51
Other Income,0.81,0.72,0.79,1.12,0.78,0.35,0.42,1.04,0.85,0.88,0.94,1.77,1.57
Interest,0.33,0.41,1.47,1.12,1.13,0.89,0.91,1.09,0.82,0.64,0.45,0.36,0.37
Depreciation,0.3,0.32,0.89,1.18,1.18,1.29,1.47,1.63,1.87,1.92,2.45,2.48,2.64
Profit before tax,3.33,3.82,4.8,4.61,4.94,4.89,2.46,4.05,4.33,7.91,5.04,7.5,4.32
Tax %,30.63,33.51,32.71,27.98,20.45,44.79,17.89,29.88,25.4,32.49,29.17,25.47,
Net Profit,2.31,2.54,3.22,3.31,3.92,2.7,2.01,2.84,3.23,5.34,3.56,5.58,3.49
EPS in Rs,19.25,21.17,26.83,27.58,32.67,22.5,16.75,23.67,26.92,44.5,29.67,46.5,29.07
