,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,52.46,71.22,34.79,96.96,77.82,58.82,48.35,73.74,13.57
Inventory Days,,,,,,,,181.04,
Days Payable,,,,,,,,877.46,
Cash Conversion Cycle,52.46,71.22,34.79,96.96,77.82,58.82,48.35,-622.68,13.57
Working Capital Days,11.16,-2.97,-32.65,236.34,134.69,128.47,132.45,71.28,15.08
ROCE %,,28.46,40.25,19.18,4.59,9.95,-37.25,-17.48,-57.19
