,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0.19,0.42,0.52,4.64,4.64,10.21,10.21,10.21,10.21,10.21
Reserves,0.4,0.66,5.01,13.95,14.24,9.61,3.66,1.58,-2.97,-3.08
Borrowings,0.36,0.59,0.88,0.4,2.32,0.0,1.21,0.24,0.0,0.74
Other Liabilities,0.5,1.08,2.13,1.62,3.49,3.91,4.01,6.55,4.68,4.33
Total Liabilities,1.45,2.75,8.54,20.61,24.69,23.73,19.09,18.58,11.92,12.2
Fixed Assets,0.7000000000000001,1.5,2.71,3.46,3.73,3.3,2.23,1.42,0.98,1.46
CWIP,0.01,0.0,0.41,2.16,2.89,0.75,0.07,0.07,0.07,0.0
Investments,0.0,0.0,0.0,0.0,2.42,0.11,0.23,0.08,0.08,0.08
Other Assets,0.74,1.25,5.42,14.99,15.65,19.57,16.56,17.01,10.79,10.66
Total Assets,1.45,2.75,8.54,20.61,24.69,23.73,19.09,18.58,11.92,12.2
