,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,3.27,4.92,11.96,15.66,20.92,32.39,22.57,26.68,19.36,19.61
Expenses,3.08,4.4,10.13,12.95,19.59,29.7,28.46,28.44,24.56,24.06
Operating Profit,0.19,0.52,1.83,2.71,1.33,2.69,-5.89,-1.76,-5.2,-4.45
OPM %,5.81,10.57,15.3,17.31,6.36,8.31,-26.1,-6.6,-26.86,-22.69
Other Income,0.01,0.0,0.06,-0.12,0.3,0.04,0.19,0.2,0.22,0.19
Interest,0.05,0.05,0.04,0.09,0.03,0.07,0.01,0.01,0.01,0.02
Depreciation,0.12,0.15,0.27,0.38,0.71,0.81,0.83,0.81,0.53,0.66
Profit before tax,0.03,0.32,1.58,2.12,0.89,1.85,-6.54,-2.38,-5.52,-4.94
Tax %,133.33,9.38,7.59,11.79,24.72,37.84,16.67,9.24,16.85,
Net Profit,-0.02,0.29,1.46,1.86,0.67,1.15,-5.45,-2.16,-4.59,-4.08
EPS in Rs,-0.5,3.22,12.08,1.86,0.69,1.13,-5.34,-2.12,-4.5,-4.00
