,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,52.65,-0.53,-0.35,-0.02,0.00,0.00,0.00,0.26,0.65,0.00,0.03,0.00,0.0
Expenses,52.9,0.13,20.62,0.13,0.17,0.14,0.06,0.49,0.82,0.10,0.37,0.23,0.21
Operating Profit,-0.25,-0.66,-20.97,-0.15,-0.17,-0.14,-0.06,-0.23,-0.17,-0.10,-0.34,-0.23,-0.21
OPM %,-0.47,,,,,,,-88.46,-26.15,,-1133.33,,
Other Income,0.12,0.00,8.04,-4.74,-0.02,0.00,0.00,0.0,1.41,0.00,0.0,0.06,0.06
Interest,1.47,0.08,0.08,0.19,0.49,0.00,0.00,0.0,0.0,0.00,0.0,0.00,0.0
Depreciation,0.56,0.56,0.47,0.01,0.00,0.00,0.00,0.0,0.0,0.01,0.01,0.01,0.0
Profit before tax,-2.16,-1.30,-13.48,-5.09,-0.68,-0.14,-0.06,-0.23,1.24,-0.11,-0.35,-0.18,-0.15
Tax %,18.06,-6.15,0.00,30.26,226.47,0.00,0.00,0.0,0.81,0.00,0.0,0.00,
Net Profit,-1.77,-1.38,-13.49,-3.54,0.86,-0.15,-0.07,-0.24,1.23,-0.11,-0.35,-0.18,-0.16
EPS in Rs,-1.77,-1.38,-13.49,-3.54,0.86,-0.15,-0.07,-0.24,1.23,-0.11,-0.35,-0.18,-0.16
