,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,69,167,167,183,503,507,562,562,562,281,281,281,281
Reserves,72,58,7,26,231,177,217,232,-47,268,283,241,213
Borrowings,602,732,763,725,228,186,32,0,49,26,15,33,32
Other Liabilities,353,131,156,188,80,86,81,96,114,151,140,140,161
Total Liabilities,1096,1088,1093,1121,1042,957,892,890,678,725,719,695,687
Fixed Assets,873,861,862,865,775,668,666,664,393,375,368,385,382
CWIP,0,0,0,0,0,0,0,0,0,0,0,0,0
Investments,0,0,0,0,0,0,0,0,0,0,12,14,11
Other Assets,223,227,230,257,267,289,226,226,286,350,339,296,294
Total Assets,1096,1088,1093,1121,1042,957,892,890,678,725,719,695,687
