,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,12.25,13.21,13.84,15.71,17.35,16.5,15.94,16.76,17.07,15.64,24.29,30.89,29.63
Expenses,11.75,12.65,13.28,14.93,16.5,15.51,15.08,16.64,15.51,14.73,23.49,28.66,26.34
Operating Profit,0.5,0.56,0.56,0.78,0.85,0.99,0.86,0.12,1.56,0.91,0.8,2.23,3.29
OPM %,4.08,4.24,4.05,4.96,4.9,6.0,5.4,0.72,9.14,5.82,3.29,7.22,11.10
Other Income,-0.0,0.04,0.03,0.02,-0.0,0.05,0.03,0.01,0.03,-0.0,0.01,0.07,0.04
Interest,0.36,0.46,0.44,0.6,0.6,0.42,0.2,0.39,0.27,0.27,0.28,0.38,0.38
Depreciation,0.09,0.08,0.09,0.13,0.12,0.17,0.23,0.52,0.51,0.49,0.4,0.39,0.41
Profit before tax,0.05,0.06,0.06,0.07,0.13,0.45,0.46,-0.78,0.81,0.15,0.13,1.53,2.54
Tax %,20.0,33.33,33.33,14.29,38.46,31.11,28.26,25.64,25.93,26.67,30.77,25.49,
Net Profit,0.03,0.04,0.04,0.05,0.08,0.31,0.33,-0.58,0.59,0.12,0.1,1.14,1.89
EPS in Rs,1.0,0.8,0.8,1.0,1.33,0.58,0.46,-0.81,0.82,0.17,0.14,1.58,2.62
