,2019-09-01,2020-03-01,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,8.46,8.93,5.0,10.95,9.69,14.81,15.54,15.65,13.98
Expenses,7.69,8.15,4.47,10.59,9.83,13.88,15.17,13.8,12.54
Operating Profit,0.77,0.78,0.53,0.36,-0.14,0.93,0.37,1.85,1.44
OPM %,9.1,8.73,10.6,3.29,-1.44,6.28,2.38,11.82,10.3
Other Income,0.01,0.02,-0.0,0.01,-0.0,0.01,0.05,0.02,0.02
Interest,0.14,0.12,0.16,0.1,0.14,0.12,0.16,0.21,0.17
Depreciation,0.21,0.31,0.25,0.24,0.19,0.2,0.18,0.21,0.2
Profit before tax,0.43,0.37,0.12,0.03,-0.47,0.62,0.08,1.45,1.09
Tax %,25.58,27.03,25.0,-0.0,25.53,24.19,25.0,25.52,26.61
Net Profit,0.32,0.28,0.1,0.02,-0.36,0.46,0.06,1.09,0.8
EPS in Rs,0.44,0.39,0.14,0.03,-0.5,0.64,0.08,1.51,1.11
