,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Equity Capital,20,20,20,20,20,20,20,20,20,20,20,20
Reserves,52,49,37,33,32,30,19,20,9,-17,-11,-34
Borrowings,20,23,37,35,36,36,37,35,32,32,36,35
Other Liabilities,13,18,11,14,22,22,7,6,10,17,15,2
Total Liabilities,105,110,104,103,110,108,82,80,72,52,59,23
Fixed Assets,18,18,34,32,29,27,24,21,14,12,7,6
CWIP,18,18,0,0,0,0,0,0,0,0,0,0
Investments,0,1,4,4,5,4,4,4,5,1,1,0
Other Assets,69,73,65,66,76,77,54,55,53,38,52,17
Total Assets,105,110,104,103,110,108,82,80,72,52,59,23
